010,4,0,70,0.5267276763916016,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,0.8919737339019775,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,55,0.8310995101928711,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,0.35772132873535156,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,1.2425258159637451,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,45,2.3209400177001953,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,60,4.239984750747681,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,60,4.286371469497681,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,80,0.6540811061859131,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,65,0.7366125583648682,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,0.46106481552124023,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,3.447711229324341,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,60,1.454564094543457,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,3.078887462615967,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,1.217212438583374,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,1.6390337944030762,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,0.7040326595306396,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,4.104702711105347,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,2.957925319671631,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,5.916231632232666,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,3.4341001510620117,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,45,2.0305521488189697,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,60,1.105720043182373,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,65,1.0014700889587402,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,80,4.3840062618255615,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,70,13.82440733909607,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,50,2.2138571739196777,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,65,10.741639852523804,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,1.1582255363464355,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,60,16.343758821487427,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,35,11.879778861999512,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,65,9.804123640060425,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,3.889491081237793,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,10.918172836303711,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,55,11.68561601638794,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,7.316669464111328,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,60,14.437182426452637,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,9.044458389282227,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,1.6373498439788818,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,10.665684938430786,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,45,15.83889126777649,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,11.23603081703186,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,60,15.109506130218506,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,70,12.623854398727417,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,60,9.733838558197021,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,11.457545518875122,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,12.436396360397339,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,35,13.865829229354858,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,55,2.0088443756103516,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,70,2.0330493450164795,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,10.933792352676392,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,55,11.867868185043335,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,75,6.915921688079834,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,55,2.948758125305176,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,17.085256338119507,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,14.85377049446106,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,11.496439695358276,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,9.186906576156616,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,70,17.9584321975708,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,19.247565269470215,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,50,12.70605993270874,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,9.028902053833008,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,60,15.285768032073975,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,70,13.956588506698608,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,35,6.221106052398682,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,65,3.3345789909362793,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,5.207304954528809,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,80,3.195788860321045,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,60,16.95739722251892,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,65,17.457756519317627,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,13.700326204299927,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,17.023073434829712,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,7.729835510253906,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,55,14.418420553207397,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,8.13233995437622,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,12.799824476242065,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,13.600123882293701,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,15.961559295654297,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,70,20.513970375061035,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,60,20.17107844352722,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,60,5.283476829528809,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,60,10.625824689865112,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,60,9.584834337234497,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,65,2.89682936668396,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,70,2.0107920169830322,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,45,6.95889139175415,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,65,1.114182472229004,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,65,13.73635482788086,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,1.448408842086792,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,12.501718282699585,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,80,13.13064193725586,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,60,7.725571870803833,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,2.5629043579101562,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,2.8977653980255127,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,7.317227840423584,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,16.641589164733887,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,2.2170329093933105,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,17.11457085609436,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,11.990734815597534,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,18.059988498687744,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,50,14.807769536972046,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,14.724461317062378,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,65,17.087703943252563,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,75,14.100690126419067,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,17.16917848587036,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,70,14.768033266067505,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,55,11.18595814704895,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,8.142306327819824,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,65,15.083806276321411,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,10.423133611679077,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,55,9.97207236289978,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,9.236060619354248,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,70,14.496846675872803,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,9.733469247817993,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,9.663458347320557,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,75,17.463684797286987,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,55,10.842036962509155,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,8.054170370101929,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,6.526796340942383,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,55,6.601458549499512,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,0.5117144584655762,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,70,2.1142916679382324,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,70,3.7451534271240234,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,75,4.4046149253845215,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,9.925947904586792,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,14.03065538406372,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,65,5.482678174972534,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,55,10.137892246246338,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,60,6.684220790863037,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,65,15.128530979156494,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,15.11214303970337,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,8.95224666595459,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,11.119577884674072,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,9.729666709899902,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,11.658975601196289,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,11.020027160644531,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,70,10.310985326766968,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,55,11.189961910247803,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,10.651614904403687,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,11.799015522003174,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,50,11.199366092681885,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,65,7.231136322021484,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,60,13.101042985916138,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,65,12.278891563415527,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,65,12.765674829483032,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,17.264288187026978,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,60,8.509996175765991,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,10.41383671760559,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,13.10417628288269,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,60,1.2459743022918701,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,70,19.140185356140137,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,55,19.22889471054077,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,7.249729633331299,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,4.254353046417236,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,70,3.276825428009033,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,70,1.8862605094909668,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,3.6436855792999268,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,70,21.901749849319458,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,19.71690535545349,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,75,14.529642820358276,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,60,10.069955825805664,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,70,4.664097785949707,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,9.277927160263062,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,16.61929726600647,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,13.425089120864868,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,15.547897100448608,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,60,16.33385705947876,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,9.119876623153687,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,11.018196105957031,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,75,11.731137752532959,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,70,16.25116467475891,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,16.504569053649902,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,13.261667490005493,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,60,9.384567975997925,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,10.02578854560852,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,10.533347606658936,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,70,13.524259567260742,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,55,9.90517258644104,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,15.917891502380371,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,60,8.200248003005981,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,6.719390630722046,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,45,6.158556222915649,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,60,5.243328809738159,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,5.480750799179077,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,70,7.149048328399658,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,65,1.2613496780395508,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,3.7510323524475098,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,60,12.452241659164429,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,50,9.696960926055908,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,4.496260643005371,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,60,5.006232261657715,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,35,11.342158555984497,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,9.522162199020386,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,65,5.899429559707642,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,10.229045152664185,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,55,0.2860853672027588,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,10.539443254470825,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,70,11.196030139923096,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,60,10.279162168502808,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,15.463489532470703,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
